x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,duration,event,duration_true,event_true,censoring_true
-1.1517842,-3.7105374,0.071080476,0.07062797,0.47267237,-5.3542414,-0.9698453,-0.4075231,-1.1697968,0.7293418,-1.5956367,1.6230304,7.3867836,0.92522764,-0.5198232,-1.9038978,1.2570308,2.9327307,-0.31475082,0.24591538,0.92831165,0.8277484,-21.133245,-0.41877994,-0.3550593,1.9837661,-0.43040806,-0.32749224,-0.46460384,0.88673484,0.48072374,-0.1904143,-67.353065,-0.20767254,-0.3509753,-1.2266517,-5.5789156,-0.2703059,0.043059118,-1.392405,0.78494173,-8.633008,-11.019728,-1.4042169,0.5361525,383.5125,1,12.6,1.0,77.0
-1.4084883,-2.12909,-0.6836023,0.8888296,1.5381743,-1.5036306,0.45090848,-0.35804042,-0.37734547,-0.7547286,0.24629445,2.823118,0.43327403,-0.86874425,0.57888144,0.18903176,0.51352906,3.480083,1.882975,-0.6769754,0.28032428,0.018451415,-15.731236,-0.47051102,0.32920778,-0.3942849,-0.32549745,-0.497644,1.7450837,-2.8204172,0.3854265,0.098631695,36.06567,-0.08251665,0.8461855,0.74075246,-1.6955292,-0.7586953,0.63174367,0.59336466,-1.1179454,-0.5186259,-13.011954,4.759691,-0.33720154,922.2562,1,30.3,1.0,42.6
-1.9918835,-0.95992184,0.89700705,-0.34313285,-1.17431,-0.9077291,-0.70056343,1.0867724,2.8911886,1.2517457,-4.1663723,2.8461006,4.22746,0.057682876,0.34000048,-0.061776284,0.1873094,-1.7897485,0.3632753,-0.43130398,-0.59837365,-3.4721606,11.683393,1.1683714,-1.4906142,-10.331213,-0.8526971,-0.5213327,-0.2922241,2.4382703,0.61100495,0.54142237,-18.736628,1.0051501,0.57389724,-1.2220718,0.6290092,6.383533e-05,1.0067786,2.2610006,1.6115738,-5.7666116,0.18237272,0.48510516,-0.29728597,593.53125,1,19.5,1.0,56.6
3.0390835,0.32451212,-2.0729756,-0.03682364,-2.2290897,2.2603776,0.2971594,0.66705453,-0.16775647,-0.60602295,1.0429242,2.2660017,0.28431267,0.011807488,-0.30271834,-0.7547081,0.6127182,3.6129766,1.6465576,-0.45411974,0.09801892,2.0383642,5.0718083,-0.2940039,-0.055743884,12.3176565,1.5189532,2.4719748,-1.1865959,2.3547845,0.92371297,0.09476341,11.308496,0.15410578,0.28048646,0.20858881,-5.884815,-0.83511686,0.28027844,-2.9199677,0.032192823,-11.248635,-16.325167,5.3458366,-0.47275972,3043.75,0,100.0,0.0,100.0
-0.2104463,-0.09248312,-1.1334907,0.6016957,0.50198513,4.7884088,-0.03592631,-0.7500674,-0.66178286,0.94259113,1.4727037,-0.18788522,-0.7474726,-0.4118705,0.028951488,2.3971274,-1.0948501,-2.350556,-0.14717737,-0.08910294,-0.36355832,-1.466197,6.2598248,1.1565293,-1.6613657,-10.368964,0.24903041,3.2957897,1.9109664,-2.5680735,1.1713947,0.0014792455,-20.80056,1.1883345,0.861329,0.29968515,2.7483711,0.7965225,-1.1365961,-4.596869,0.3114188,-3.7323396,4.8331504,-4.0346823,0.20070177,1573.6188,0,100.0,0.0,51.7
-2.6362526,-12.075415,-0.07939455,0.033717517,2.955215,3.059283,0.36138305,0.94178396,2.794367,1.3451945,-1.2585394,3.1496005,5.4181323,0.31494588,0.09161879,-0.06605941,-0.81367636,-2.2956746,0.5311065,-0.670394,-1.1153952,-1.1342156,-0.38185397,-0.6972456,0.6759337,1.3059618,0.9036593,-1.4064777,-2.8082323,2.5569112,-1.2716572,0.3899754,-27.253143,1.5453736,0.86225075,-1.0125182,-0.74708503,-0.2504216,0.49425027,0.22314301,-0.18351586,4.5675373,10.530605,-2.789928,0.40362942,505.2625,1,16.6,1.0,100.0
-0.286775,-1.6536518,-0.94613767,-0.64977926,-3.1171105,3.8282006,0.363108,0.61829734,0.945836,-0.73332584,-0.9068293,-0.74485016,-3.8186285,-0.3621419,0.3697612,1.5052409,0.8621635,1.8061614,-0.43174192,0.064368576,0.36825264,7.712819,4.265351,-1.1019573,1.7398717,0.6509382,1.1154355,0.19108032,0.010077861,-1.6295608,-0.2696212,-0.88514507,-38.233223,0.3304604,0.9878819,0.29209536,3.361045,0.28957915,-0.92811143,-3.3675723,0.58170277,-1.3184534,-7.128748,0.8627478,-0.04923422,496.13123,1,16.3,1.0,27.2
-2.8651757,-2.7219603,0.71868575,-0.3404418,-2.4664698,0.07864365,-0.1005369,-0.48037475,1.3675793,1.0205841,1.0010728,-0.70493907,0.9073822,0.45141783,-0.53397876,-1.2729124,0.56381166,1.2832979,-1.1755346,0.45430002,-0.20055278,1.8737682,-5.2419887,-1.0559404,1.577928,-3.026631,-0.19123177,-1.4030788,-1.1269442,1.2811621,0.67435086,0.71147835,56.415276,-0.8706612,-0.8747244,0.24190554,9.073177,0.10957394,-0.030535232,-3.7172418,-1.5457844,-2.5991528,-13.307046,0.54151154,0.51737976,1518.8313,1,49.9,1.0,50.5
3.6680944,2.5106547,-0.17918845,-0.55962235,-1.674465,3.4922404,-0.112067394,1.5653062,1.5123408,0.4303134,0.5275457,1.6474962,6.050393,0.10371054,0.22180723,-0.051762223,-1.2662815,-2.3247895,-0.03275662,0.046965744,0.401052,6.805527,18.792225,0.73895484,-0.59730214,5.975513,-0.41905054,-0.894388,1.0154508,-1.0774931,0.34903052,0.41533735,33.373844,-0.97195643,-0.879759,0.1258268,1.7335484,0.22514279,0.12287034,0.22654916,0.43337432,-7.0025387,-14.497127,2.2116456,0.016924234,337.85626,1,11.1,1.0,100.0
-1.0189309,-7.1456866,-1.7222893,-0.3731754,-3.4686146,-3.2155104,-0.2729345,-1.4444704,-1.8470976,-0.39737928,-1.3412168,0.9897987,1.5534567,0.033862006,0.37216938,0.88084483,-0.46551955,-4.8338356,-1.0237526,-0.0075442498,0.29484832,6.092484,2.1828778,-0.5339099,0.91384816,3.2929256,0.215905,-1.3023161,-0.051716592,-1.3035307,-1.6175271,-0.18914492,7.9912972,-0.6263767,-1.164165,-0.880183,-5.85635,0.06635413,0.20229885,4.573286,0.7664978,1.1497442,-1.5527581,1.353646,0.036334597,1631.45,1,53.6,1.0,93.4
